Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
Cartpt,7.468827212,7.43342463,8.114989594,7.034199278,8.034472804,3.395636221,3.419275107,3.601522031,4.038997277,3.920958991
Th,5.389694994,5.214465296,5.493077233,4.77563621,5.777518514,1.422630241,0.978052362,1.161961603,2.370872445,1.123610333
Slc18a2,4.362625314,4.667399725,5.21067149,4.67276688,5.057981061,0.0,2.548195388,0.694931281,1.808806379,1.123610333
Gpx3,5.327128009,5.176015877,4.249113595,3.82736772,4.100651988,1.084399053,1.555624153,2.23659791,1.416307604,1.46903857
Sstr2,4.0886192,4.289289101,4.756093099,3.382030699,3.854338729,1.696431916,1.295550576,0.0,0.875392941,0.668534726
Vgf,4.791261142,4.920940681,5.045608144,4.67276688,5.274173287,2.949152427,2.135638396,3.272516329,3.158308412,3.382850521
Clstn2,3.545443849,4.920940681,4.756093099,4.442006459,4.310980954,2.595077303,1.775897971,3.074794475,2.683539241,1.980862175
Ptprn,5.900061295,5.943454583,6.715485546,6.219519226,5.628434771,4.801769575,4.60141752,4.33507066,5.085894255,5.112662413
Ahi1,5.261724114,5.721154162,5.931968769,5.531129251,5.057981061,3.852588606,4.384118191,4.195867652,4.394252374,4.473818161
Peg3,6.601128782,6.88477327,6.305016854,6.144616498,5.912629077,5.569868329,5.331887092,5.078814243,5.120914279,5.381026834
Scn5a,3.545443849,3.775460345,4.249113595,3.094289997,3.854338729,1.084399053,0.570367903,1.161961603,1.416307604,1.980862175
Rasgrf1,6.341063442,5.988525488,6.230053951,5.749057793,5.462150669,5.159276081,4.60141752,4.940296049,5.05000296,5.087871727
Gng4,4.0886192,3.775460345,4.756093099,3.82736772,2.674771493,1.696431916,2.286649798,2.23659791,2.117040264,2.357891089
Necab2,3.545443849,3.428213451,4.645058079,3.382030699,4.100651988,1.926466339,2.663099574,1.51420912,1.171054038,1.46903857
Baiap3,3.545443849,3.668735956,4.645058079,3.382030699,4.310980954,1.084399053,0.978052362,3.074794475,1.971139539,1.747529731
Gaa,5.449660977,5.638729882,5.834120006,5.588774446,6.14994793,4.403871425,4.764723967,4.65153886,5.013195933,4.311986213
Vwa5b1,4.0886192,3.553481323,3.460569796,3.094289997,3.854338729,1.926466339,1.966952051,0.0,1.971139539,1.123610333
Rp1,6.462466717,5.581042214,6.305016854,6.573707625,6.44569377,5.684317771,4.864152805,5.130700399,5.299660563,4.901273983
Gabre,3.750075489,1.974294005,4.088641174,2.734490567,1.884671301,0.0,0.978052362,0.0,0.0,0.0
Arpp21,3.545443849,3.553481323,2.808428085,2.734490567,2.674771493,0.0,0.570367903,1.161961603,1.416307604,1.123610333
Plxna4,5.045585505,5.610174367,4.393509777,3.82736772,4.310980954,3.470462441,3.419275107,3.177039985,3.843192236,3.209829103
Gabrq,2.188586,2.969964787,3.171037896,3.094289997,3.557134499,0.0,0.570367903,0.0,0.875392941,1.123610333
Slc6a11,5.615913382,5.721154162,5.978512006,5.749057793,5.170123023,6.621799959,6.296170128,6.463554333,6.796429207,6.443952049
Stra6,2.663999693,3.139407961,2.808428085,3.382030699,2.674771493,0.641773522,0.0,0.694931281,0.503098176,0.0
Vat1,3.306912837,3.428213451,4.393509777,2.734490567,3.557134499,2.454693927,1.775897971,1.51420912,1.808806379,1.747529731
Crx,5.900061295,5.324022838,6.476971316,6.255561013,5.975717757,5.203817602,4.685380204,5.104990568,5.155104334,5.318469264
Rp1l1,4.965690585,3.874830626,5.358773428,5.126454068,4.803582405,4.01137418,3.130673108,3.673255547,3.843192236,3.676849185
Prph2,7.216079082,6.175545967,7.367566576,7.477333301,7.296236154,6.341900012,5.526566642,6.463554333,6.400038631,6.014833818
Resp18,3.020976743,3.139407961,2.322929739,2.734490567,2.674771493,1.084399053,0.0,1.51420912,1.171054038,0.0
Mical2,3.545443849,3.668735956,3.171037896,3.094289997,0.0,2.12481647,0.978052362,1.161961603,1.416307604,1.747529731
Celf6,3.020976743,3.553481323,2.808428085,2.254037541,1.884671301,0.0,1.775897971,0.694931281,1.171054038,1.123610333
Hspb6,4.232117633,3.874830626,4.859189789,3.82736772,4.100651988,3.316715778,2.286649798,2.715732165,3.287225609,3.114858654
Kcnb1,6.843917438,6.425449447,6.87160597,7.11489613,6.900604371,6.493120757,5.60051997,6.209828889,6.037257999,6.152700195
Slc24a1,6.208497509,5.581042214,6.109758267,6.515444872,5.975717757,5.517895503,4.481279325,5.449485618,5.576897875,4.782702192
Slc6a1,6.727624405,7.105420609,6.571094382,7.11489613,7.083579219,7.626777498,7.213447075,7.470537575,7.554049424,8.088261377
Tent5a,2.663999693,2.556371804,3.171037896,2.734490567,1.884671301,0.641773522,0.570367903,0.0,1.416307604,1.123610333
Slc29a4,2.663999693,2.969964787,4.088641174,2.734490567,3.557134499,1.422630241,0.978052362,2.23659791,1.416307604,2.357891089
Nell1,1.474717613,3.668735956,2.808428085,3.621814974,3.557134499,1.084399053,1.775897971,2.414582419,1.971139539,0.668534726
Map1b,8.521734811,8.310025489,8.604875074,8.738186982,8.562151946,8.137929972,7.41134882,8.037577142,8.114898154,8.109970604
Tspyl2,3.929255003,3.874830626,3.701595399,3.82736772,3.854338729,2.595077303,2.868633128,2.414582419,2.859732571,2.514920733
Nptxr,5.507233608,5.358768064,4.955407888,4.311125104,4.494511779,4.060643045,3.912857103,3.929087318,4.450399142,4.511590691
Ucp2,3.545443849,3.428213451,3.460569796,2.254037541,1.884671301,1.696431916,1.295550576,2.414582419,1.416307604,1.46903857
Clstn3,4.232117633,4.426634669,4.088641174,4.77563621,4.494511779,2.723003677,3.208413815,4.094995263,3.461278674,3.382850521
AI847159,3.545443849,3.553481323,4.249113595,1.528611227,3.854338729,2.454693927,1.775897971,2.23659791,2.24953167,2.656523903
